Time,Lat,Lon,Heading,TargetDist,TargetBear,MotorL,MotorR,Fix
1765531388.50,0,0,301.50,0.00,0.00,0.00,0.00,0
1765531388.71,0,0,301.50,0.00,0.00,0.00,0.00,0
1765531388.92,0,0,301.50,0.00,0.00,0.00,0.00,0
1765531389.13,0,0,301.62,0.00,0.00,0.00,0.00,0
1765531389.33,0,0,-1746.38,0.00,0.00,0.00,0.00,0
1765531389.54,0,0,301.62,0.00,0.00,0.00,0.00,0
1765531389.75,0,0,301.62,0.00,0.00,0.00,0.00,0
1765531389.96,0,0,301.62,0.00,0.00,0.00,0.00,0
1765531390.17,0,0,301.62,0.00,0.00,0.00,0.00,0
1765531390.38,0,0,301.62,0.00,0.00,0.00,0.00,0
1765531390.59,0,0,301.69,0.00,0.00,0.00,0.00,0
1765531390.80,0,0,301.69,0.00,0.00,0.00,0.00,0
1765531391.01,0,0,301.69,0.00,0.00,0.00,0.00,0
1765531391.22,0,0,301.69,0.00,0.00,0.00,0.00,0
1765531391.43,0,0,301.56,0.00,0.00,0.00,0.00,0
1765531391.64,0,0,301.50,0.00,0.00,0.00,0.00,0
1765531391.85,0,0,301.19,0.00,0.00,0.00,0.00,0
1765531392.06,0,0,301.19,0.00,0.00,0.00,0.00,0
1765531392.27,0,0,301.19,0.00,0.00,0.00,0.00,0
1765531392.48,0,0,300.56,0.00,0.00,0.00,0.00,0
1765531392.69,0,0,300.50,0.00,0.00,0.00,0.00,0
1765531392.90,0,0,300.50,0.00,0.00,0.00,0.00,0
1765531393.10,0,0,300.50,0.00,0.00,0.00,0.00,0
1765531393.31,0,0,300.50,0.00,0.00,0.00,0.00,0
1765531393.52,0,0,301.38,0.00,0.00,0.00,0.00,0
1765531393.73,0,0,300.69,0.00,0.00,0.00,0.00,0
1765531393.94,0,0,301.38,0.00,0.00,0.00,0.00,0
1765531394.15,0,0,301.38,0.00,0.00,0.00,0.00,0
1765531394.36,0,0,301.38,0.00,0.00,0.00,0.00,0
1765531394.57,0,0,301.56,0.00,0.00,0.00,0.00,0
1765531394.77,0,0,301.50,0.00,0.00,0.00,0.00,0
1765531394.98,0,0,301.38,0.00,0.00,0.00,0.00,0
1765531395.19,0,0,301.31,0.00,0.00,0.00,0.00,0
1765531395.40,0,0,301.38,0.00,0.00,0.00,0.00,0
1765531395.61,0,0,301.38,0.00,0.00,0.00,0.00,0
1765531395.81,0,0,301.38,0.00,0.00,0.00,0.00,0
1765531396.02,0,0,301.38,0.00,0.00,0.00,0.00,0
1765531396.23,0,0,301.38,0.00,0.00,0.00,0.00,0
1765531396.44,0,0,301.38,0.00,0.00,0.00,0.00,0
1765531396.65,0,0,301.38,0.00,0.00,0.00,0.00,0
1765531396.86,0,0,301.38,0.00,0.00,0.00,0.00,0
1765531397.07,0,0,301.38,0.00,0.00,0.00,0.00,0
1765531397.28,0,0,301.38,0.00,0.00,0.00,0.00,0
1765531397.49,0,0,301.38,0.00,0.00,0.00,0.00,0
1765531397.70,0,0,301.38,0.00,0.00,0.00,0.00,0
1765531397.91,0,0,301.38,0.00,0.00,0.00,0.00,0
1765531398.12,0,0,301.38,0.00,0.00,0.00,0.00,0
1765531398.33,0,0,301.38,0.00,0.00,0.00,0.00,0
1765531398.54,0,0,301.38,0.00,0.00,0.00,0.00,0
1765531398.75,0,0,301.38,0.00,0.00,0.00,0.00,0
1765531398.96,0,0,301.38,0.00,0.00,0.00,0.00,0
1765531399.16,0,0,301.31,0.00,0.00,0.00,0.00,0
1765531399.37,0,0,301.31,0.00,0.00,0.00,0.00,0
1765531399.58,0,0,301.31,0.00,0.00,0.00,0.00,0
1765531399.79,0,0,301.31,0.00,0.00,0.00,0.00,0
1765531400.00,0,0,301.31,0.00,0.00,0.00,0.00,0
1765531400.21,0,0,301.31,0.00,0.00,0.00,0.00,0
1765531400.42,0,0,301.31,0.00,0.00,0.00,0.00,0
1765531400.63,0,0,301.25,0.00,0.00,0.00,0.00,0
1765531400.83,0,0,301.25,0.00,0.00,0.00,0.00,0
1765531401.04,0,0,301.31,0.00,0.00,0.00,0.00,0
1765531401.25,0,0,301.31,0.00,0.00,0.00,0.00,0
1765531401.46,0,0,301.31,0.00,0.00,0.00,0.00,0
1765531401.67,0,0,301.31,0.00,0.00,0.00,0.00,0
1765531401.88,0,0,301.31,0.00,0.00,0.00,0.00,0
1765531402.09,0,0,301.31,0.00,0.00,0.00,0.00,0
1765531402.29,0,0,301.31,0.00,0.00,0.00,0.00,0
1765531402.51,0,0,301.31,0.00,0.00,0.00,0.00,0
1765531402.72,0,0,301.31,0.00,0.00,0.00,0.00,0
1765531402.93,0,0,301.31,0.00,0.00,0.00,0.00,0
1765531403.14,0,0,301.25,0.00,0.00,0.00,0.00,0
1765531403.35,0,0,301.25,0.00,0.00,0.00,0.00,0
1765531403.56,0,0,301.25,0.00,0.00,0.00,0.00,0
1765531403.77,0,0,301.25,0.00,0.00,0.00,0.00,0
1765531403.98,0,0,301.25,0.00,0.00,0.00,0.00,0
1765531404.19,0,0,301.25,0.00,0.00,0.00,0.00,0
1765531404.40,0,0,301.25,0.00,0.00,0.00,0.00,0
1765531404.60,0,0,301.25,0.00,0.00,0.00,0.00,0
1765531404.81,0,0,301.25,0.00,0.00,0.00,0.00,0
1765531405.02,0,0,301.25,0.00,0.00,0.00,0.00,0
1765531405.23,0,0,301.25,0.00,0.00,0.00,0.00,0
1765531405.44,0,0,301.25,0.00,0.00,0.00,0.00,0
1765531405.65,0,0,301.25,0.00,0.00,0.00,0.00,0
1765531405.86,0,0,301.25,0.00,0.00,0.00,0.00,0
1765531406.06,0,0,301.25,0.00,0.00,0.00,0.00,0
1765531406.27,0,0,301.25,0.00,0.00,0.00,0.00,0
1765531406.48,0,0,301.25,0.00,0.00,0.00,0.00,0
1765531406.69,0,0,301.25,0.00,0.00,0.00,0.00,0
1765531406.90,0,0,301.25,0.00,0.00,0.00,0.00,0
1765531407.11,0,0,301.38,0.00,0.00,0.00,0.00,0
1765531407.32,0,0,301.38,0.00,0.00,0.00,0.00,0
1765531407.53,0,0,301.38,0.00,0.00,0.00,0.00,0
